Aria | Composer | Opera | Voice | Filename
Alla vita che t'arride | Verdi, Giuseppe | Un ballo in maschera | Renato | Alla vita che t'arride.pdf
Eri tu che macchiavi quell'anima | Verdi, Giuseppe | Un ballo in maschera | Renato | Eri tu che macchiavi quell'anima.pdf
Re dell'abisso, affrettati | Verdi, Giuseppe | Un ballo in maschera | Ulrica | Re dell'abisso, affrettati.pdf
Ma dall'arido stelo divulsa | Verdi, Giuseppe | Un ballo in maschera | Amelia | Ma dall'arido stelo divulsa.pdf
Morrò, ma prima in grazia | Verdi, Giuseppe | Un ballo in maschera | Amelia | Morrò, ma prima in grazia.pdf
Saper vorreste | Verdi, Giuseppe | Un ballo in maschera | Oscar | Saper vorreste.pdf
Volta la terrea | Verdi, Giuseppe | Un ballo in maschera | Oscar | Volta la terrea.pdf
Di' tu se fedele | Verdi, Giuseppe | Un ballo in maschera | Riccardo | Di' tu se fedele.pdf
La rivedrà nell'estasi | Verdi, Giuseppe | Un ballo in maschera | Riccardo | La rivedrà nell'estasi.pdf
Ma se m'è forza perderti | Verdi, Giuseppe | Un ballo in maschera | Riccardo | Ma se m'è forza perderti.pdf
Compagnoni di Parigi...Verrà purtroppo il giorno | Verdi, Giuseppe | Un giorno di regno (Il finto Stanislao) | Cavaliere di Belfiore | Compagnoni di Parigi...Verrà purtroppo il giorno.pdf
Non san quant'io nel petto… Non vo' quel vecchio | Verdi, Giuseppe | Un giorno di regno (Il finto Stanislao) | Giulietta di Kelbar | Non san quant'io nel petto… Non vo' quel vecchio.pdf
Grave a core innamorato...Se dee cader la vedova | Verdi, Giuseppe | Un giorno di regno (Il finto Stanislao) | Marchesa del Poggio | Grave a core innamorato...Se dee cader la vedova.pdf
Si mostri a chi l'adora...Si, scordar saprò l'infido | Verdi, Giuseppe | Un giorno di regno (Il finto Stanislao) | Marchesa del Poggio | Si mostri a chi l'adora...Si, scordar saprò l'infido.pdf
Pietoso al lungo pianto… Deh lasciate a un alma amante | Verdi, Giuseppe | Un giorno di regno (Il finto Stanislao) | Edoardo | Pietoso al lungo pianto… Deh lasciate a un alma amante.pdf
